,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
15,Viral Disease,Philippine Influenza Epidemic of 1957,April-June 1957,,,City of Manila,,,,,,,,,,,,,1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tayback, Matthew; Reyes, A. C. (1957). Philippine Influenza Epidemic of 1957 (Vol. 72). Retrieved from http://www.jstor.org/stable/4589923 ",,,,1957-04-01,1957-06-30,ddae5a4132994c2ca7bb8f74d6a597ec
16,Viral Disease,Philippines in the World of the Influenza Pandemic,1918-1919,,,City of Manila,,,,,,,,,88906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gealogo, F. A. (2009). The Philippines in the World of the Influenza Pandemic of 1918-1919. Philippine Studies, 57(2), 261–292.",,,,1918-01-01,1919-12-31,aaa619ea83b64e9cb2a2ae2166a00c3c
17,Bacterial Disease,The Philippines Insurrection and the 1902-4 cholera epidemic,1902-1904,,,City of Manila,,,,,,,,,67444,,,,97488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smallman-Raynor, M., & Cliff, A. (1998). The Philippines insurrection and the 1902–4 cholera epidemic: Part I—Epidemiological diffusion processes in War. Journal of Historical Geography, 1(24), 69–89.;
Smallman-Raynor, M., & Cliff, A. (1998). The Philippines insurrection and the 1902–4 cholera epidemic: Part II—Diffusion patterns in war and peace. Journal of Historical Geography, 2(24), 188–210. 
",,,,1902-01-01,1904-12-31,1315ed9929b843bab59bd4ba7af3baf9
18,Bacterial Disease,The 1961 Cholera Epidemic in Manila,1961,,,City of Manila,,,,,,,,,11,,,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wallace, C. K., Fabie, A. E., Mangubat, O., Velasco, E., Juinio, C., & Phillips, R. A. (1964). The 1961 Cholera Epidemic in Manila, Republic of the Philippines. Bulletin of the World Health Organization (Vol. 30).",,"Ultimate source of cholera in Manila will never be known, although contemporary accounts speculated on its importation with fresh vegetables from Canton, China",,1961-01-01,1961-12-31,c6fa18c4ad9c49b0a9123f40744f937d
19,Bacterial Disease,Bubonic Plague in Manila,1901-04-01 00:00:00,,,City of Manila,,,,,,,,,91,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry, J. C. (1901). Plague and smallpox in Manila during April, 1901 (Vol. 16).",,,,1901-04-01,1901-04-01,a42f8fdb0477461fb98879ef5b838228
20,Viral Disease,Smallpox in Manila,1901-04-01 00:00:00,,,City of Manila,,,,,,,,,0,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry, J. C. (1901). Plague and smallpox in Manila during April, 1901 (Vol. 16).",,,,1901-04-01,1901-04-01,3e19aebcf946466c98fac9ba4f09d8be
22,Tropical Cyclone,Typhoon Feria,2-7 July 2001,,,Region I|II|III|IV|V|VI|VII|VIII|IX|X|CAR|CARAGA|NCR,,,,,,,,4106,188,241,44,415379,1902413,,,12774,39174,1854.1185296,1349.10434744,383.262266,,,,,,,,36178741,"NDCC-OCD, DSWD, LGU, NGO (ABS-CBN Foundation Inc), Other GOs",,275000,,,,,,,,,,,,,,,,,,,2001-07-02,2001-07-07,36ce0befa2cc43eaa6d7c4af7d9254c7
23,Riverine Flood,Mt. Parker,1995-09-01 00:00:00,,,"South Cotobato, Region XII",,,,,,,,,34,,23,12381,60853,,,410,287,59,659.5,,,,,,,,,4012000000,,,5168000,,,,,,,,,"""Rehabilitation"" = 67,000,000",,,,,,,,,,1995-09-01,1995-09-01,bb260a7bfdf34c3b9127364c164bab96
24,Flood (General),Floodings,1995,,,Philippines,,,,,,,,,86,2,9,133530,736900,,,12845,64662,229.316,356.558,0.388,,,,,,,,5648000000,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,cfbdc8732fc0466facb399c3a5962d1a
25,Poisoning,Red Tide,1995,,,"Manila, NCR",,,,,,,,,,,,11980,56237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,473a56417368479d9df7d2ba492eb23e
26,Locust Infestation,Locust Infestation,1995,,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,9a7e61afcc994cf2a9221d8065f0df07
27,Landslide (Wet),Landslides,1995,,,Philippines,,,,,,,,,20,5,3,522,2191,,,15,,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,9d5a910ac4ae49ea8086fbb8a5d03651
28,Drought,Drought,1995,,,Philippines,,,,,,,,,,,,66665,332953,,,,,,562.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,3b5f0cf1eb154743a66313511b51c952
29,Tornado,Tornado,1995,,,Philippines,,,,,,,,,,,,145,734,,,5,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,d4d31792fd724bcdb9cce35229c3f7fe
30,Viral Disease,Foot and Mouth Disease,1995,,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,e01b9020012947839607bded1358a556
31,Earthquake (Ground Movement),Earthquakes,1995,,,Philippines,,,,,,,,,,,8,67,398,,,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,bd11ab2321c7465ba4e661fc21b3d788
32,Lahar,Lahar,1995,,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Effects are incorporated with typhoons ""Karing"", Helming"", ""Mameng"" & ""Rosing""",,1995-01-01,1995-12-31,f706a3e5c6974ad6a48ac67bb7173c33
33,Drought,Drought,1995-01-09 00:00:00,,,Lanao del Sur,,,,,,,,,0,0,0,13103,65515,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-09,1995-01-09,e9dd45ea79a04879bd7e57e916534fcc
34,Flood (General),Flooding,15-17 January 1995,,,Davao del Norte|Davao Oriental,,,,,,,,,6,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-15,1995-01-17,e07abaf8505d4b5e9633bb5b9deb1dd6
35,Flood (General),Flooding,1995-01-20 00:00:00,,,Agusan del Sur,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-20,1995-01-20,b7e4c099bb724f43bab377220773107f
36,Armed Conflict,Civil Disturbances,1995,,,Philippines,,,,,,,,,75,234,2,1516,6346,200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,"4,216,000 (Relief) * 21,000,000(NDCC)",,,,,,,,,1995-01-01,1995-12-31,239b59a33cd44b80a5d4434f6aebd9c9
37,Explosion (Misc),Bomb/Grenade explosions,1995,,,Philippines,,,,,,,,,38,127,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,05db2ff0096e44f8ba1d931ae2e6b412
38,Armed Conflict,Shooting incidents,1995,,,Philippines,,,,,,,,,39,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,aef33c2671b641d39fb75ed79b33f297
39,Road ,Vehicular Accidents,1995,,,Philippines,,,,,,,,,48,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,a269213f77624b5fa6e7544c464a50bb
40,Collapse (Misc),Tilling Pond Collapse,1995,,,Philippines,,,,,,,,,12,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,8cd1f3f2226243dab16511e4f02d4fea
41,Water,Sea Mishaps,1995,,,Philippines,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,4442e612ffae4caea7c48ca8366ab913
42,Fire (Misc),Fire Incidents,1995,,,Philippines,,,,,,,,,150,86,32,5298,27470,,,792,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,61472762f8ac4cd795047df800b27718
43,Collapse (Industrial),Collapsed Bridges,1995,,,Philippines,,,,,,,,,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,67329a530a7249d1b7dc4cf8427f6fa4
44,Bacterial Disease,Leptospirosis,1995,,,Philippines,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,a47b31e538dc4d35abffc58522d44cd5
45,Tropical Cyclone,"Typhoon ""Gading""",6-10 July 1986,entered PAR at 15.8 degrees North ,,Luzon,,,"SW#3, 11:00PM 7 July 1986",,57,AFP,,,106,16,13,142050,730357,6162,35657,,,299.81106,369.628472,9.053858,,,,,,Binga Dam released water July 11. Cagayan and Agno river basins affected ,,"2,146,800 - PNRC; 2,247,659 MOH","PNRC, MOH",,,,,,,,,,,,7045752,,,,,,,Agricultural damage breakdown: 316807432 – Crops;  3542290 – Livestock;  49278750 – Fishpond. Infrastructure damage breakdown 204948057 Roads and bridges; 94863000 Public works,,1986-07-06,1986-07-10,044f14961c614665821115fd12815b69
46,Tropical Cyclone,Tropical Storm Ruping,17-20 August 1986,,,Visayas,,,,,,,,,2,,,259,1284,,,49,136,0.0325,34.36196,,,,,,,,,,,,,,,,,,,,,,,,,,,Destructive Tropical Cyclones 1986-1985,,"Agricultural damage breakdown: 31736060– Crops;  110150 – Livestock;  2515750 – Fishponds. Infrastructure damage breakdown 32,500",,1986-08-17,1986-08-20,5d97886561f04ce88a0e2e91a45bc390
47,Tropical Cyclone,Typhoon Miding,August 25 - September 4 1986,(Did not make landfall),,Region 1|Region 2|CAR|NCR,,,,,,,,,,,,96540,538386,9906,,473,699,99.44785,162.99221,0.711,,,"18.75km of road recorded as totally destroyed, 5 bridges totally destroyed; several roads partially damaged, 1 bridge partially damaged",,,,,1810326,,,138309,,,,,,,,,,,,,,,Destructive Tropical Cyclones 1986-1986,,Agricultural damage breakdown: 149936154– Crops;  1010730 – Livestock;  12045323 – Fishponds. Infrastructure damage breakdown: 68338250 Roads and bridges; 31109604 Public works. MSSD External: 153500; MSSD Foreign 36649; PNRC 550897; MOH 1019529; Civic Org. 101660; LGU 86400 ,,1986-08-25,1986-09-04,3065d25c18414785aadb08a17f5c1404
48,Tropical Cyclone,Tropical Depression Oryang,6-7 October 1986,,,Central Luzon,,,,,,,,,26,27,21,22538,125669,,,,,416.51359,2.040087,,,,"Totally destroyed: 0.8km roads, 3 bridges; partially destroyed: 193.694km roads; 0",,,,,252552,,,209600,,,,,,,,,,,,,,,Destructive Tropical Cyclones 1986-1987,,,,1986-10-06,1986-10-07,2f963b23292547aba86866f0cc2b1331
49,Tropical Cyclone,Tropical Storm Pasing,10-14 October 1986,,,Samar|Leyte|Mindoro|,,,,,,,,,4,,,3082,,,,52,414,18.272,5.286,5.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986-10-10,1986-10-14,7bc903ef2a5c4b4586c163fd5a428610
50,Tropical Cyclone,Typhoon Aning,20-23 December 1986,,,Surigao del Sur|Bohol|Cebu,,,,,,,,,16,107,10,22771,110113,,,3569,18785,33.644182,7.77762,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultural damage breakdown: 7777620- Crops ; 29046 heads – Livestock; 116ha fishponds. Infrastructure damage breakdown: 18682682 Roads and bridges; 14961500 Public works,,1986-12-20,1986-12-23,54ab2defe07f4f6e9a04df677b6eec6c
51,Tropical Cyclone,Tropical Storm Ising,13-19 August 1987,,,Region 1|Region 2|CAR|,,,,,,,,,5,,,13247,55563,,,89,957,30.14797,84.777307,,,,,,,,,0.319285,,,6040,,,,,325,,,,,,,,,,Destructive Tropical Cyclones 1986-1986,,Agricultural damage breakdown: 84582607 - Crops ; 194700 – Livestock. Infrastructure damage breakdown: 21574970 Roads and bridges; 8573000 Public works,,1987-08-13,1987-08-19,0cea2d30fe8e49df80b4cafeb04125bc
52,Tropical Cyclone,Typhoon Pepang,21-25 October 1987,(Did not make landfall),,Region 1|Region 2|CAR|,,,,,,SAR - PN,,,100,79,13,60504,310214,71,268,18396,31557,242.812748,275.582275,0.561,,,,,,,,2820945,"DSWD, PNRC",,278659,,,,,,,,,,,,,,,Destructive Tropical Cyclones 1986-1987,,"Agricultural damage breakdown: 260,517,838 - Crops ; 11,981,050 – Livestock; 3,083,387 – Fishpond. Infrastructure damage breakdown: 142,329,992 Roads and bridges; 100,482,756 Public works",,1987-10-21,1987-10-25,832effda92a54e40a8d37e68775830b5
53,Water,Ship Collision M/V Cebu City and M/V Kota Soria,1994-12-02 00:00:00,,,Manila,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551 passengers,,1994-12-02,1994-12-02,67c7e77ed9ce49f1a511b3a5b4178f87
54,Water,Ship fired incident M/V Kim Melody Cristy,1995-12-13 00:00:00,,,"Fortune Island, Batangas|",,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137 passengers,,1995-12-13,1995-12-13,54631851dd434827823f775425b3c892
55,Water,Sinking ship  M/L Gretchen I,1996-02-18 00:00:00,,,"Cadiz City, Negros Occidental|",,,,,,602 PCG Auxiliary Squadron,,,"51 (24 adult, 27 children)","145 survived (135 passengers, 10 crew)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186 passengers,,1996-02-18,1996-02-18,2888823c5efd43508c0b398e2c02c3ac
56,Water,Sinking ship M/V Princess of the Orient,1998-09-18 00:00:00,,,"Fortune Island, Batangas|",,,,,,"AE891, PS35, PS19, LCC551, FB Marigold, FB Villaflor, Marine Base Ternate, CGS Corregidor, PNP Maragondon","PCG: AE-891. PCTs fast patrol craft; PN: LC-551, PS-19, PG-35, PG-392, PG-393, Helicopter; PAF Helicopter",,150,391 survivors,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"505 passengers- 341 adults, 11 Minors, 102 crew",,1998-09-18,1998-09-18,f8714795082f44c4a7d65c9a49fadc53
57,Water,Sinking Ship M/V South Korea,1999-12-23 00:00:00,,,"Bantayan Island, Cebu",,"VISCOM, RDCC - Cebu City, AFP-DRTG, DROC, NAVFORCEN, PCG",,,,"3ID; 303 Bde and Task Force Panay; 5052nd SAR Group, PAF; 560th CTW, Bantay Dagat civic volunteer group","Military: Nomad aircraft, Bell 205 2 UH-1H, Islander, 1 helicopter PCG; Civilian: MV Dexter, MV Kerr, MV Idago, MV Saint Peter the Apostle, MV Zenaida, MV Indonesia other motorized banca and fishing boat",,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741 passengers,,1999-12-23,1999-12-23,c662267d4bbc4c558feee9d72a291d19
58,Water,Sinking ship M/L Annahada,2000-04-12 00:00:00,,,"Jolo, Sulu",,,,,,AFP - PN and PM; DOTC - PCG; RDCC - ARMM; 100 fishermen,,,143,23 survived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maritime Disasters 1994-2000,,"60 children, 83 adults died",,2000-04-12,2000-04-12,d7e9145a28e34436a3fc50f57ea5c24c
59,Tornado,,2000-04-15 00:00:00,,,"Brgy. Cantaguie, San Jorge, Western Samar",,,,,,"34th IB Rescue Team, MDCC",,1,0,2,,46,,,,11,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-04-15,2000-04-15,127fbba6b68a44d6bdd379184e5793d8
60,Water,M/V Penafrancia II,2000-04-17 00:00:00,,,"Calagatan, Batangas",,,,,,,,,,,,,"105 (85 passengers, 20 crew) survived",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maritime Disasters 1994-2000,,,,2000-04-17,2000-04-17,ba6dd986e5cc4c9098c0a9eddf1079fa
61,Flood (General),CARAGA Flooding & Southern Leyte Landslide,2003-12-01 00:00:00,,,Region VII|VIII|XI|XII|CARAGA,Landslide (Wet),,"State of Calamity - Agusan del Norte, Surigao del Sur, Southern Leyte, Tagum City, Surigao del Norte",,14,,,,203,54,4,,,639,2908,499,756,226.419,133.472,3.195,,,,,,,,,,"UN-OCHA, UNDP, US, Japanese, Korea, Belgium, Germany, China",34.811 (total),,,,,,,,,,,,,,,Southern Leyte Landslide and CARAGA Flooding,,,,2003-12-01,2003-12-01,87fa84cad24c4b4ba61cedec7ac955b5
63,Landslide (Wet),Landslide,1:40PM 30 July 2004,,,"Limotoc St, Barangay Central, Mali, Davao Oriental",,,,,,Residents,,,2,4 (children),,,,,,,,,,,,,,,,,,,"MDCC Mali, Ms Doray Floremonte",,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,"Children playing beside the ongoing construction of a residential house owned by a certain Doray Floremonte at the hill portion of Limotoc St, Barangay Central, Mali, Davao Oriental when suddenly a landslied occured burying the said children on the spot",,,2004-07-30,2004-07-30,e555e28957f8426ba6c586fd2dac40f1
64,Landslide (Wet),Landslide,12 August 2004,,,ARMM,Flashflood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-12,2004-08-12,585ed1d269d5463d8d63650c3ab9bc2c
65,Landslide (Wet),Landslide,17 August 2004,,,IV|X|XII|ARMM,Flashflood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,befe2a79ae274a9d90b96e4507398598
66,Landslide (Wet),Landslide,19 August 2004,,,ARMM,Flashflood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-19,2004-08-19,d43c336c8feb466992497f783b02e554
67,Landslide (Wet),Landslide,21 August 2004,,,"Brgy Baliton, Glan, Sarangani",,,,MDCC,,PCG,,,,,,10,,,,2,6,,3ha.,,,,500m stretch of road sunk by 5m affected. 9 Brgys made isolated,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-21,2004-08-21,ae12631c9d3c4ccd8024fab5268c499c
69,Tornado,Tornado/Whirlwind,9:30 PM 31 July 2004,,,"Brgy Nonoc, Talisay City, Cebu",,,,,,,,"4 (Brgys Dumlog, Bulacao, Tabunoc, San Isidro)",,5,,122,537,,,19,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-07-31,2004-07-31,6e002d1f4ed44f28b52924e546d0cde0
70,Tornado,Tornado/Whirlwind,11:30PM 31 July 2004,,,"Brgy. Canapnapan & Anislag, Corella, Bohol",,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-07-31,2004-07-31,0e280975b2d14eef9d7372ccfdb64436
71,Tornado,Tornado/Whirlwind,3:00PM 6 August 2004,,,"Brgy. San Isidro, Sitio Mabinuligon, Pontevedara, Negros Occidental",,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-06,2004-08-06,b1221758e1ba41dfa42aa69fe5cf684c
72,Tornado,Tornado/Whirlwind,4:20PM 8 August 2004,,,"Villadolid, Negros Occidental",,,,,,,,1,,,,554,3318,,,14,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-08,2004-08-08,e6e8d5dc578f4a4e88f42dd2419b4cd2
73,Tornado,Tornado/Whirlwind,7:45PM 14 August 2004,,,"Sitio Canalum, Brgy. Nangaka, Bayawan City, Negros Occidental",,,,,,,,1,,,,,58,,,6,10,,,,,,,,,,,"5,000 for totally damaged house, 2,500 for partially damaged; 500 for slightly damaged houses",,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-14,2004-08-14,1baf71f68e4346e883e4ebdab943c5fa
74,Tornado,Tornado/Whirlwind,5:00PM 14 August 2004,,,"Hinobaan, Negros Occidental",,,,,,,,,1,,,62,313,,,21,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-14,2004-08-14,b2f571bf5b7a4061b5b6a9b86bb844a5
75,Tornado,Tornado/Whirlwind,12 August 2004,,,"La Castella, Negros Occidental",,,,,,,,,,,,32,192,,,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-12,2004-08-12,759c03731ba04a9b9b2b7f4e77e9e59a
76,Tornado,Tornado/Whirlwind,10:00PM 17 August 2004,,,"Brgy., Boulevard, Molo, Iloilo City",,,,,,,,,,,,4,20,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,5aa10ff7c78945d880ed81eb44979b1e
