,eventClass,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
28,M,Drought,Drought,1995,,,Philippines,,,,,,,,,,,,66665,332953,,,,,,562.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,e7cc14e6348841bba17cb49e5c06ed63
29,M,Tornado,Tornado,1995,,,Philippines,,,,,,,,,,,,145,734,,,5,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,87eb020f39e64cc6bb9680df08897843
30,M,Viral Disease,Foot and Mouth Disease,1995,,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,bb316d5a28c044128632d8b67d08a7ae
31,M,Earthquake (Ground Movement),Earthquakes,1995,,,Philippines,,,,,,,,,,,8,67,398,,,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,08769af0017d4aaa9790d6c27def1f0d
32,M,Lahar,Lahar,1995,,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Effects are incorporated with typhoons ""Karing"", Helming"", ""Mameng"" & ""Rosing""",,1995-01-01,1995-12-31,9358c05c14c74859806676f28a80e637
33,M,Drought,Drought,1995-01-09 00:00:00,,,Lanao del Sur,,,,,,,,,0,0,0,13103,65515,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-09,1995-01-09,9a9ec498e2594c59996df021b4d03b41
34,M,Flood (General),Flooding,15-17 January 1995,,,Davao del Norte|Davao Oriental,,,,,,,,,6,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-15,1995-01-17,ae0e4ba58f794cd6ad7e2abc1f278b03
35,M,Flood (General),Flooding,1995-01-20 00:00:00,,,Agusan del Sur,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-20,1995-01-20,41c7256ab14545afbc175d28426b27cd
36,M,Armed Conflict,Civil Disturbances,1995,,,Philippines,,,,,,,,,75,234,2,1516,6346,200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,"4,216,000 (Relief) * 21,000,000(NDCC)",,,,,,,,,1995-01-01,1995-12-31,530495c0ce934a0085ee353e2b374797
37,M,Explosion (Misc),Bomb/Grenade explosions,1995,,,Philippines,,,,,,,,,38,127,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,42963ad8fe8142dfa23d44e8415aeea7
38,M,Armed Conflict,Shooting incidents,1995,,,Philippines,,,,,,,,,39,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,ea13eeee1b8a4a509a527615355e3f26
39,M,Road ,Vehicular Accidents,1995,,,Philippines,,,,,,,,,48,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,80e91100d80b41e0a62425203618e79a
40,M,Collapse (Misc),Tilling Pond Collapse,1995,,,Philippines,,,,,,,,,12,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,b6ce8f83bfd64b06991b2714d5b27ee1
41,M,Water,Sea Mishaps,1995,,,Philippines,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,ecce8ae2e53d4671a362e9c6bf4a1b32
42,M,Fire (Misc),Fire Incidents,1995,,,Philippines,,,,,,,,,150,86,32,5298,27470,,,792,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,06684e2464894118b9eba89897cf9036
43,M,Collapse (Industrial),Collapsed Bridges,1995,,,Philippines,,,,,,,,,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,facea8b69f214b409caf1fb9281e3c3c
44,M,Bacterial Disease,Leptospirosis,1995,,,Philippines,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1995-12-31,80c2b806f47a4024bebddab577941631
45,M,Tropical Cyclone,Typhoon Gading,6-10 July 1986,,,Luzon,,,"SW#3, 11:00PM 7 July 1986",,57.0,AFP,,,106,16,13,142050,730357,6162,35657,,,299.81106,369.628472,9.053858,,,,,,Binga Dam released water July 11. Cagayan and Agno river basins affected ,,"2,146,800 - PNRC; 2,247,659 MOH","PNRC, MOH",,,,,,,,,,,,7045752,,,,,,,Agricultural damage breakdown: 316807432 – Crops;  3542290 – Livestock;  49278750 – Fishpond. Infrastructure damage breakdown 204948057 Roads and bridges; 94863000 Public works,,1986-07-06,1986-07-10,635668549e584dc8be890713a9a016c4
46,M,Tropical Cyclone,Tropical Storm Ruping,17-20 August 1986,,,Visayas,,,,,,,,,2,,,259,1284,,,49,136,0.0325,34.36196,,,,,,,,,,,,,,,,,,,,,,,,,,,Destructive Tropical Cyclones 1986-1985,,"Agricultural damage breakdown: 31736060– Crops;  110150 – Livestock;  2515750 – Fishponds. Infrastructure damage breakdown 32,500",,1986-08-17,1986-08-20,94b8d015cfc2452f8790952fead5a429
47,M,Tropical Cyclone,Typhoon Miding,August 25 - September 4 1986,,,Region 1|Region 2|CAR|NCR,,,,,,,,,,,,96540,538386,9906,,473,699,99.44785,162.99221,0.711,,,"18.75km of road recorded as totally destroyed, 5 bridges totally destroyed; several roads partially damaged, 1 bridge partially damaged",,,,,1810326,,,138309,,,,,,,,,,,,,,,Destructive Tropical Cyclones 1986-1986,,Agricultural damage breakdown: 149936154– Crops;  1010730 – Livestock;  12045323 – Fishponds. Infrastructure damage breakdown: 68338250 Roads and bridges; 31109604 Public works. MSSD External: 153500; MSSD Foreign 36649; PNRC 550897; MOH 1019529; Civic Org. 101660; LGU 86400 ,,1986-08-25,1986-09-04,3f63d6f44cb24529a61f6f4ad6b82fb2
48,M,Tropical Cyclone,Tropical Depression Oryang,6-7 October 1986,,,Central Luzon,,,,,,,,,26,27,21,22538,125669,,,,,416.51359,2.040087,,,,"Totally destroyed: 0.8km roads, 3 bridges; partially destroyed: 193.694km roads; 0",,,,,252552,,,209600,,,,,,,,,,,,,,,Destructive Tropical Cyclones 1986-1987,,,,1986-10-06,1986-10-07,bc4bcd34c1344c74b953ed5dfbd71291
49,M,Tropical Cyclone,Tropical Storm Pasing,10-14 October 1986,,,Samar|Leyte|Oriental Mindoro|Occidental Mindoro,,,,,,,,,4,,,3082,,,,52,414,18.272,5.286,5.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986-10-10,1986-10-14,3d8111749cf24530a96201ced62e2505
50,M,Tropical Cyclone,Typhoon Aning,20-23 December 1986,,,Surigao del Sur|Bohol|Cebu,,,,,,,,,16,107,10,22771,110113,,,3569,18785,33.644182,7.77762,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultural damage breakdown: 7777620- Crops ; 29046 heads – Livestock; 116ha fishponds. Infrastructure damage breakdown: 18682682 Roads and bridges; 14961500 Public works,,1986-12-20,1986-12-23,cff64b05d53c4be9a0a3e7a25a75f844
51,M,Tropical Cyclone,Tropical Storm Ising,13-19 August 1987,,,Region 1|Region 2|CAR|,,,,,,,,,5,,,13247,55563,,,89,957,30.14797,84.777307,,,,,,,,,0.319285,,,6040,,,,,325,,,,,,,,,,Destructive Tropical Cyclones 1986-1986,,Agricultural damage breakdown: 84582607 - Crops ; 194700 – Livestock. Infrastructure damage breakdown: 21574970 Roads and bridges; 8573000 Public works,,1987-08-13,1987-08-19,229894f0fd3b4abfb66c79fba7dfed41
52,M,Tropical Cyclone,Typhoon Pepang,21-25 October 1987,,,Region 1|Region 2|CAR,,,,,,SAR - PN,,,100,79,13,60504,310214,71,268,18396,31557,242.812748,275.582275,0.561,,,,,,,,2820945,"DSWD, PNRC",,278659,,,,,,,,,,,,,,,Destructive Tropical Cyclones 1986-1987,,"Agricultural damage breakdown: 260,517,838 - Crops ; 11,981,050 – Livestock; 3,083,387 – Fishpond. Infrastructure damage breakdown: 142,329,992 Roads and bridges; 100,482,756 Public works",,1987-10-21,1987-10-25,7f9a43a2099542f9bc0d764125fd47c9
53,I,Water,Ship Collision M/V Cebu City and M/V Kota Soria,1994-12-02 00:00:00,,,City of Manila,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551 passengers,,1994-12-02,1994-12-02,01b6005b4109400ea40848cb5a84d99e
54,I,Water,Ship fired incident M/V Kim Melody Cristy,1995-12-13 00:00:00,,,"Fortune Island, Batangas|",,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137 passengers,,1995-12-13,1995-12-13,e97bca23d0b34d4190e0007f990bed42
55,I,Water,Sinking ship  M/L Gretchen I,1996-02-18 00:00:00,,,"City of Cadiz, Negros Occidental|",,,,,,602 PCG Auxiliary Squadron,,,"51 (24 adult, 27 children)","145 survived (135 passengers, 10 crew)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186 passengers,,1996-02-18,1996-02-18,6bfdb6c783de4180ad4df0cf5cb8d5e7
56,I,Water,Sinking ship M/V Princess of the Orient,1998-09-18 00:00:00,,,"Fortune Island, Batangas|",,,,,,"AE891, PS35, PS19, LCC551, FB Marigold, FB Villaflor, Marine Base Ternate, CGS Corregidor, PNP Maragondon","PCG: AE-891. PCTs fast patrol craft; PN: LC-551, PS-19, PG-35, PG-392, PG-393, Helicopter; PAF Helicopter",,150,391 survivors,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"505 passengers- 341 adults, 11 Minors, 102 crew",,1998-09-18,1998-09-18,c301ce2a675d44b7a66707452760e975
57,I,Water,Sinking Ship M/V South Korea,1999-12-23 00:00:00,,,"Bantayan Island, Cebu",,"VISCOM, RDCC - Cebu City, AFP-DRTG, DROC, NAVFORCEN, PCG",,,,"3ID; 303 Bde and Task Force Panay; 5052nd SAR Group, PAF; 560th CTW, Bantay Dagat civic volunteer group","Military: Nomad aircraft, Bell 205 2 UH-1H, Islander, 1 helicopter PCG; Civilian: MV Dexter, MV Kerr, MV Idago, MV Saint Peter the Apostle, MV Zenaida, MV Indonesia other motorized banca and fishing boat",,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741 passengers,,1999-12-23,1999-12-23,544f4f68d7bb437ab955c4f51916f9cc
58,I,Water,Sinking ship M/L Annahada,2000-04-12 00:00:00,,,"Jolo, Sulu",,,,,,AFP - PN and PM; DOTC - PCG; RDCC - ARMM; 100 fishermen,,,143,23 survived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maritime Disasters 1994-2000,,"60 children, 83 adults died",,2000-04-12,2000-04-12,85d4f25e281e4a858ffc76c18d8d66b1
59,I,Tornado,"Tornado at Brgy. Cantaguie, San Jorge, Samar",2000-04-15 00:00:00,,,"Brgy. Cantaguie, San Jorge, Samar",,,,,,"34th IB Rescue Team, MDCC",,1,0,2,,46,,,,11,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-04-15,2000-04-15,686df03a78794c0596657b3293fd2e04
60,I,Water,M/V Penafrancia II,2000-04-17 00:00:00,,,"Calagatan, Batangas",,,,,,,,,,,,,"105 (85 passengers, 20 crew) survived",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maritime Disasters 1994-2000,,,,2000-04-17,2000-04-17,10049d1c77de4c79b5437defec8e3ba0
61,M,Flood (General),CARAGA Flooding & Southern Leyte Landslide,2003-12-01 00:00:00,,,Region VII|VIII|XI|XII|CARAGA,Landslide (Wet),,"State of Calamity - Agusan del Norte, Surigao del Sur, Southern Leyte, Tagum City, Surigao del Norte",,14.0,,,,203,54,4,,,639,2908,499,756,226.419,133.472,3.195,,,,,,,,,,"UN-OCHA, UNDP, US, Japanese, Korea, Belgium, Germany, China",34.811 (total),,,,,,,,,,,,,,,Southern Leyte Landslide and CARAGA Flooding,,,,2003-12-01,2003-12-01,cbfe00d89e2643d883a0bcbfb5107cc6
63,I,Landslide (Wet),Landslide,1:40PM 30 July 2004,,,"Limotoc St, Barangay Central, Mali, Davao Oriental",,,,,,Residents,,,2,4 (children),,,,,,,,,,,,,,,,,,,"MDCC Mali, Ms Doray Floremonte",,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,"Children playing beside the ongoing construction of a residential house owned by a certain Doray Floremonte at the hill portion of Limotoc St, Barangay Central, Mali, Davao Oriental when suddenly a landslied occured burying the said children on the spot",,,2004-07-30,2004-07-30,984c458905854dd78f3f76fb37e5747e
64,I,Landslide (Wet),Landslide,12 August 2004,,,ARMM,Flashflood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-12,2004-08-12,dbaff308f1b54dd0a5647fafe76da588
65,I,Landslide (Wet),Landslide,17 August 2004,,,IV-A|IV-B|X|XII|ARMM,Flashflood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-17,2004-08-17,02165571357049cea28645d991ba6973
66,I,Landslide (Wet),Landslide,19 August 2004,,,ARMM,Flashflood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-19,2004-08-19,62530b428e5b46fc84d5ddbd1c0ec4ae
67,I,Landslide (Wet),Landslide,21 August 2004,,,"Brgy Baliton, Glan, Sarangani",,,,MDCC,,PCG,,,,,,10,,,,2,6,,3ha.,,,,500m stretch of road sunk by 5m affected. 9 Brgys made isolated,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-21,2004-08-21,e2e2d3cfd7ae4481b923e68622d37f0f
69,I,Tornado,Tornado/Whirlwind,9:30 PM 31 July 2004,,,"Brgy Nonoc,City of Talisay , Cebu",,,,,,,,"4 (Brgys Dumlog, Bulacao, Tabunoc, San Isidro)",,5,,122,537,,,19,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-07-31,2004-07-31,92d7b2e4272d420f97837bd4b6e3ec16
70,I,Tornado,Tornado/Whirlwind,11:30PM 31 July 2004,,,"Brgy. Canapnapan & Anislag, Corella, Bohol",,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-07-31,2004-07-31,32f9fdf7fc2a4e37a16b89736b5e389b
71,I,Tornado,Tornado/Whirlwind,3:00PM 6 August 2004,,,"Brgy. San Isidro, Sitio Mabinuligon, Pontevedara, Negros Occidental",,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-06,2004-08-06,3c3d5c223ad24c93a82f22b8da75fc96
72,I,Tornado,Tornado/Whirlwind,4:20PM 8 August 2004,,,"Villadolid, Negros Occidental",,,,,,,,1,,,,554,3318,,,14,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-08,2004-08-08,e5f446686b374073a91a65a1f19cab08
73,I,Tornado,Tornado/Whirlwind,7:45PM 14 August 2004,,,"Sitio Canalum, Brgy. Nangaka, Bayawan City, Negros Occidental",,,,,,,,1,,,,,58,,,6,10,,,,,,,,,,,"5,000 for totally damaged house, 2,500 for partially damaged; 500 for slightly damaged houses",,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-14,2004-08-14,42c912cadc214945ae9e850eebfb0cf1
74,I,Tornado,Tornado/Whirlwind,5:00PM 14 August 2004,,,"Hinobaan, Negros Occidental",,,,,,,,,1,,,62,313,,,21,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-14,2004-08-14,ff1ed84821614c519dff78dc4dccb3fa
75,I,Tornado,Tornado/Whirlwind,12 August 2004,,,"La Castella, Negros Occidental",,,,,,,,,,,,32,192,,,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disaster Report Archives August 2004,,,,2004-08-12,2004-08-12,172422cc10624d89bbf9c18e19b197eb
